Ligand ID,0
rna,152899
ZN,64191
CLA,48055
MG,47884
dna,43642
CA,43469
peptide,37531
PEB,16739
HEM,14335
MN,12663
ADP,11684
ATP,9243
SF4,8040
FE,7442
FAD,7103
GTP,7057
CU,6493
GDP,6407
NAD,6255
BCL,6160
GLC,6059
HEC,4703
MAN,4425
NAP,4304
FMN,4084
FE2,3756
BGC,3732
PLP,3520
PO4,3458
CHL,3325
FES,2921
ANP,2784
H4B,2510
SAH,2509
NDP,2475
GAL,2459
AGS,2436
CLR,2278
COA,2197
CO,2109
AMP,1993
SO4,1833
FUC,1580
Y01,1549
OHX,1457
TRP,1438
TPP,1402
SAM,1332
SIA,1328
BMA,1233
GNP,1205
PHO,1188
UDP,1178
GSH,1159
NAI,1154
GLU,1112
CL7,1108
GLY,1060
SPO,1009
XYP,997
BCT,993
UMP,947
PUB,933
FRU,928
DTP,926
CRT,921
OXY,914
DMU,908
GOL,901
BEF,885
A86,880
C8E,875
DA,864
PLX,854
CO3,850
AKG,827
CU1,806
ACO,802
GLA,771
RET,749
CAP,733
CL,729
BPH,726
POP,726
K,711
F3S,708
ACP,702
CTP,698
PGW,678
LYS,671
DGT,665
AF3,661
OXL,645
IMP,640
HEA,637
FBP,624
ARG,571
PYR,541
TTP,536
U10,527
OEX,468
ALF,462
UTP,461
ADN,460
ASP,448
C2E,444
AZI,441
V7N,439
PHE,428
CMP,426
NI,417
II0,412
ADE,405
B12,395
2AN,393
PIO,388
CPL,386
ACT,385
5GP,379
NO2,376
PQN,373
KC1,373
PRO,372
6OU,371
MGD,370
LBN,358
IHP,357
FDA,350
GLN,340
APC,338
AR6,331
APR,325
DD6,322
MET,316
CLF,314
U5P,313
PMP,312
XYS,309
CUA,306
PEP,305
BTN,305
TYD,295
GSP,295
ABU,293
CYS,290
BLA,288
UPG,287
DCP,283
3BV,282
HIS,281
BCB,265
SER,264
78M,262
LEU,252
CYZ,251
P8E,248
FUL,246
TYR,243
ALA,242
XE,240
U,236
PLG,232
F43,230
SFG,230
UFP,228
UD1,228
CD,227
BU3,227
FLC,226
C5P,224
DUP,222
BMP,220
A3P,218
THP,216
F6P,216
PNS,215
G2P,215
MMA,213
MTX,213
KC2,212
O,211
MTA,211
ZMP,210
G6P,209
AHR,209
8Q1,209
PRP,208
FUB,206
LPE,201
MQ9,200
8CT,198
PID,198
BTI,197
AZA,196
FCO,194
HDD,194
AJP,194
G,194
MFU,193
BO2,193
AC1,192
ZEX,191
CL0,190
TP7,189
2CV,186
2HP,185
SRM,184
BPB,183
SO3,183
CFF,181
CDP,179
TMP,178
URA,178
TA1,176
A1LZM,175
LU8,174
VAL,173
017,171
ERG,171
07D,169
BEM,169
SGN,168
MYA,167
NO3,166
08T,164
PDO,164
PGA,164
FUM,164
EDO,163
FEO,161
A,160
DGL,160
5LD,160
ORN,159
THR,159
NO,157
ZK1,157
PCG,157
COM,156
P5S,156
OAA,152
NCA,152
6EU,151
ADA,150
BDP,150
UQ,149
EHZ,149
9Z9,149
1N7,149
WO4,149
CHT,148
C,148
G4P,147
RAM,146
78N,146
04C,146
TD6,145
EPJ,143
MPG,142
SRO,142
9TY,142
IPE,141
UQ8,141
I3P,138
FNR,138
URI,135
LMN,134
STU,132
HBI,132
ASN,131
DAL,131
IVM,129
BDF,128
0V9,128
1PS,127
SP2,127
XG4,126
2BA,126
AP5,126
DUR,126
NPO,125
AV0,123
DZ4,123
MN3,123
INI,123
F6C,122
QBQ,122
CDL,122
CMO,121
09R,120
NXL,119
O4B,119
EIC,118
DU0,118
RBF,116
TCL,115
IMD,114
PC,114
TFP,113
CAA,113
GDU,113
ZDC,113
9YF,112
ICS,112
OEY,111
SY9,111
P3S,110
HXG,109
KGD,109
CYC,109
KSV,108
SLB,108
GTX,107
DMA,107
CYN,107
B7G,107
MOO,107
IDS,106
DUT,106
IRM,106
TRT,106
PQQ,106
Q6L,105
IPT,105
G39,105
T8T,102
GOA,102
DST,101
NCT,101
FPP,101
DND,100
STL,100
PLR,99
CP,99
CAM,99
ILE,99
TMO,99
OCA,99
SMA,99
GMP,98
MA4,97
NMN,97
LYC,97
BR,96
CM5,96
NAJ,96
EST,96
G3H,96
GPP,95
WVN,95
AZM,94
HEB,94
PAL,94
VO4,93
DBV,92
DQH,92
HNI,92
CUO,92
QUE,92
ADX,91
SEY,91
L0B,90
3PO,90
PT5,89
IHT,89
IAC,89
BG6,88
DAN,88
AU,87
FDP,87
KAN,86
UP6,86
DC,86
NIO,85
PPV,85
G3P,85
ACH,85
0KX,85
BB2,85
TBR,84
GCS,84
T7X,83
HSM,83
MQ7,83
HSX,83
LBV,83
DXC,83
B3N,83
GDD,82
0G6,82
CLM,82
PLM,82
H4M,81
UQ1,81
IOD,81
FEC,80
SPD,80
CTN,80
IPH,80
FC6,80
EPE,79
G1I,79
RRX,78
MGP,78
P0T,78
EVB,77
6V6,77
BES,77
I3C,77
R1P,77
RIB,76
VSZ,76
TFA,75
EF2,75
I55,75
FSW,75
RHR,75
NAG,75
INS,74
FZ4,74
POL,74
HPA,74
FK5,74
2J9,73
2GP,73
HAS,73
3VN,73
P1T,73
2PG,72
FFO,72
F6R,72
5RP,72
ACD,71
4WI,71
ASC,71
OPE,71
F42,71
D5M,71
UGA,71
GRG,70
TT0,70
LMZ,70
EPH,70
AYE,70
RUB,70
MLI,70
BQ1,69
1VU,69
AG,69
DCT,69
COH,69
ECH,68
8M0,68
C2F,68
PLS,68
AG2,67
6NT,67
CAQ,67
FAH,67
SVR,67
UDX,67
SEP,67
8DG,67
FAR,66
U1H,66
BE2,66
VFN,66
AR,66
TRH,66
FPS,65
MGM,65
ROC,65
LOP,65
MTN,65
SGC,64
BEN,64
PGH,64
PAE,64
TCH,64
0JO,64
XYL,64
C7Z,64
44E,63
FMC,63
EQU,63
SPM,63
SKM,63
GDS,63
PH2,63
VFE,62
SCA,62
UNK,62
BRJ,62
1SY,62
MGT,62
9Y0,62
NHW,62
XMP,62
NOS,62
QQ7,62
AMG,62
AMZ,61
KAI,61
PUT,61
XLS,61
9ZR,61
THM,61
AX9,61
URF,61
DCQ,60
NLG,60
MLK,60
PPK,60
AES,60
HBA,60
R5P,60
F,60
VFT,60
SOR,60
A2P,60
D16,59
ETF,59
DMS,59
